screen_name,location
gutiandrea_,"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia"
elvis5241,"Santo Domingo, Santo Domingo De Guzmán, Distrito Nacional, 10129, República Dominicana"
RightYourWrong,"Berlin, 10117, Deutschland"
HHMARTINL,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
Gonzalo03769714,"Santo Tomás, Departamento de San Salvador, República de El Salvador"
jesusmcova,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
EdwinR_77,"Zapopan, Jalisco, 45129, México"
Mabamamx,"Tabasco, México"
Isaura11884421,"Juárez, Nuevo León, México"
haf1972,"Minas Gerais, Região Sudeste, Brasil"
jatirado_oc,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
SIPSE,"Mérida, Badajoz, Extremadura, 06800, España"
DanSilver2,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France"
ejquinonez,"Esmeraldas, Ecuador"
martinpulento53,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, Chile"
MayuSilva1,"🅿️, Avenida Gregorio Riva, Villa Lora, La Vega, 48000, República Dominicana"
cristianolucero,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
germanh60,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
_AaronMana,"Merlo, Partido de Merlo, Buenos Aires, Argentina"
mariferpruiz40,"Distrito Federal, Região Centro-Oeste, Brasil"
DaguirreMiranda,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
tono0,"Colina, Provincia de Chacabuco, Región Metropolitana de Santiago, Chile"
AngelicaBohor18,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
EdwinR_77,"Zapopan, Jalisco, 45129, México"
Eli37113338,"Villa Ángela, Pasto, Nariño, Colombia"
chiro1967,"Maine, United States of America"
OstriaMa,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
ErikaOSanoja,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
pierziina,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
SIPSE,"Mérida, Badajoz, Extremadura, 06800, España"
Roma16demaio,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
LuisPac35209434,"Esmeraldas, Ecuador"
Roma16demaio,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
NeoInformes,"Comunidad de Madrid, España"
OrtegaSegorteca,"Machala, El Oro, Ecuador"
DSampetrino,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
jjcmgmail,"Guadalajara, Jalisco, 44360, México"
QPEV_,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
The88Turtle,"Alcantarilla, Área Metropolitana de Murcia, Región de Murcia, 30820, España"
NicolasMonvR,"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
QPEV_,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
ElDictamen,"Veracruz de Ignacio de la Llave, México"
mariogdeanda,"Naucalpan, Naucalpan de Juárez, Estado de México, 53580, México"
villaseninr,"Mataderos, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
iaco_ar,"Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mendoza, Argentina"
JesusGarciaTej3,"Almoloya de Alquisiras, Estado de México, México"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
joejoeorest,"Nuevo León, México"
rmedinapacheco,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
folha,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
bidonesbol,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
marciano2072,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica"
marenos24175207,"Yunguyo, Puno, Peru"
roiltmancortes,Venezuela
nuncarodillas,"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia"
rmedinapacheco,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
avefeni23663728,"General Obligado, Resistencia, Departamento San Fernando, Chaco, Argentina"
FrancoAM16,"Diamante, Cosenza, Calabria, 87023, Italia"
argus_5,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
brunocastilloo1,"Mar del Plata, Partido de General Pueyrredón, Buenos Aires, Argentina"
Gbastidas,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
EstrellaOnline,Panamá
GileraArgentina,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
AlejandraCoca7,"Barcelona, Barcelonès, Barcelona, Catalunya, España"
Cruz310782,"Quito, Pichincha, 17041, Ecuador"
FreddyIndio3,"Manta, Cuneo, Piemonte, Italia"
rodolfoasar,"Quito, Pichincha, 17041, Ecuador"
nuncarodillas,"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia"
LuisCarlosAlcz2,"Santa Cruz, Argentina"
JoeArogSiroo,"Tlalnepantla de Baz, Estado de México, México"
Twony94,"Distrito Federal, Região Centro-Oeste, Brasil"
IvonneRexx,"Managua, Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua"
EnkiWall,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
Teo_Fernan,"Parnamirim, Microrregião de Natal, Mesorregião do Leste Potiguar, Rio Grande do Norte, Região Nordeste, Brasil"
AntonioRios1972,"Tijuana, Municipio de Tijuana, Baja California, 22105, México"
Busster_Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
Busster_Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
Busster_Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España"
